@relation IndoorTempDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
7.8,42,23.1,24,3.804,23.2
8,42,23.2,24,3.892,23.4
8.2,42,23.4,24,3.94,24
8.5,42,24,24,3.762,24.5
8.9,40,24.5,24,3.285,23.5
8.8,42,23.5,24,2.931,23
8.3,42,23,24,2.824,23
8.3,42,23,24,3.891,23.2
8.3,42,23.2,24,3.918,23.3
8.3,42,23.3,24,4.075,24.1
7.7,42,24.1,24,3.816,24.5
7.5,42,24.5,24,3.816,23.9
8.1,40,23.9,24,3.457,23.1
7.5,42,23.1,24,3.874,23
7.8,41,23,24,3.894,23.2
7.9,41,23.2,24,4.014,23.4
8.1,41,23.4,24,4.081,23.7
8.4,41,23.7,24,4.14,23.9
8.7,41,23.9,24,4.077,24
9.1,41,24,24,3.949,23.9
8.7,41,23.9,24,3.859,24.1
7.4,41,23.4,24,2.774,23.1
7.5,41,23.1,24,3.968,23.1
8,41,23.1,24,4.105,23.2
8.1,41,23.2,24,4.249,23.3
8.2,41,23.3,24,4.249,24.1
7.5,41,24.1,24,3.958,24.5
7.3,41,24.5,24,3.655,23.5
7.6,41,23.5,24,3.169,22.9
10.2,41,22.9,24,3.975,22.9
6.9,42,21.9,24,3.907,21.7
6.9,42,21.7,24,2.903,22
6.7,42,22,24,2.555,22.2
5.9,42,19.2,24,1.847,22.7
6,42,22.7,24,2.332,23.4
5.7,42,23.4,24,2.949,23.7
7.2,42,23.7,24,2.79,24
7.9,42,24,24,2.648,24.1
8.2,42,24.1,24,2.414,24.3
8.4,42,24.3,24,2.245,24.3
8.3,42,24.3,24,2.258,24.4
7.9,42,24.4,24,2.002,24.4
7.7,42,24.4,24,1.902,24.5
7.5,42,24.5,24,1.957,24.4
7.3,42,24.4,24,1.819,24.4
7.6,42,24.4,24,1.839,24.3
7.7,42,24.3,24,1.827,24.1
7.7,42,24.1,24,1.792,24.1
7.7,42,24.1,24,1.797,24.2
7.4,42,24.2,24,1.804,24.1
7.6,42,24.1,24,1.756,24.1
7.3,42,24.1,24,1.756,24.1
