@relation PowerConsumption

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric

@data
6.9,42,21.9,24,3.907
6.9,42,21.7,24,2.903
6.7,42,22,24,2.555
6.8,42,22.2,24,2.542
5.9,42,19.2,24,1.847
6,42,22.7,24,2.332
5.7,42,23.4,24,2.949
7.2,42,23.7,24,2.79
7.9,42,24,24,2.648
8.2,42,24.1,24,2.414
8.4,42,24.3,24,2.245
8.3,42,24.3,24,2.258
7.9,42,24.4,24,2.002
7.7,42,24.4,24,1.902
7.5,42,24.5,24,1.957
7.3,42,24.4,24,1.819
7.6,42,24.4,24,1.839
7.7,42,24.3,24,1.827
7.7,42,24.1,24,1.792
7.7,42,24.1,24,1.797
7.4,42,24.2,24,1.804
7.6,42,24.1,24,1.756
7.3,42,24.1,24,1.756
7.6,42,24.1,24,1.837
7.8,42,24,24,1.946
7.9,42,24,24,1.954
8.3,42,23.9,24,1.976
8.4,42,23.8,24,1.998
8.5,42,23.9,24,1.914
8.8,42,24,24,1.959
8.8,42,24.1,24,1.959
8.8,42,24.1,24,2.011
9,42,24.1,24,2.028
8.8,42,24,24,1.975
8.9,42,23.9,24,2.02
8.9,42,23.9,24,2.003
8.9,42,24,24,2.002
8,42,24,24,2.001
8.4,42,24.1,24,2.054
8.1,42,24,24,2.147
8,42,24,24,2.005
8.1,42,24.1,24,2.029
7.7,42,23.9,24,1.972
8,42,23.8,24,2.002
8.2,42,23.8,24,2.081
8.4,42,23.8,24,2.128
8,42,23.9,24,2.132
7.9,42,23.9,24,2.132
8.3,42,24,24,2.241
7.7,42,24.2,24,2.241
7.1,42,23.5,24,2.806
7.4,42,21.9,24,5.89
7.7,42,21.5,24,5.4
7.6,42,21.7,24,2.537
7.8,42,21.8,24,2.326
4.1,42,19.6,24,1.72
4,42,21.5,24,2.097
4,42,22.3,24,2.797
4.8,42,22.4,24,2.143
4.8,42,22.8,24,2.255
4,42,23.1,24,2.395
3.9,42,23.4,24,2.197
3.9,42,23.5,24,2.197
4.1,42,23.7,24,2.065
4.1,42,23.8,24,2.161
4.3,42,23.9,24,2.131
4.7,42,23.9,24,1.961
4.7,42,24,24,2.018
4.8,42,24.1,24,1.942
4.4,42,24.1,24,1.885
5.1,42,24.2,24,1.813
4.6,42,24.2,24,1.816
5.1,42,24.3,24,1.809
4.9,42,24.3,24,1.809
5,42,24.3,24,1.682
5,42,24.3,24,1.721
5.5,42,24.3,24,1.722
5.7,42,24.3,24,2.285
6.4,42,24.4,24,2.23
5.8,42,24.3,24,2.091
5.9,42,24.2,24,2.163
6.2,42,24.2,24,2.221
6.2,42,24.1,24,2.24
6.2,42,24.1,24,2.207
7.3,42,23.9,24,2.207
7.1,42,24,24,2.428
7,42,24,24,2.477
6.9,42,24,24,2.563
6.6,42,24,24,2.58
5.6,42,24,24,2.627
6,42,24,24,2.658
5.8,42,24,24,2.72
5.8,42,24,24,2.698
5.7,42,24,24,2.78
4.5,42,24,24,2.808
4.3,42,24,24,2.808
4.1,42,24,24,2.737
4,42,24,24,2.832
3.8,42,24,24,2.832
4.1,42,24.1,24,2.763
4.2,42,24,24,2.682
4.2,42,24,24,2.747
4.2,42,24,24,2.707
4.2,42,24,24,2.707
4.2,42,24,24,2.729
4.2,42,24,24,2.744
4.2,42,24,24,2.726
4.2,42,24,24,2.689
4.2,42,24,24,2.69
4.2,42,24,24,2.727
4.2,42,24,24,2.748
4.2,42,24,24,2.761
4.2,42,24,24,2.748
4.2,42,24,24,2.798
4.2,42,24,24,2.846
7.7,42,24,24,2.763
8.2,42,24,24,2.719
8.2,42,24,24,2.772
8.3,42,24,24,1.829
8.3,42,24,24,1.832
8.1,42,24,24,1.819
7.9,42,24,24,1.819
7.7,42,24,24,1.753
7.8,42,23.9,24,1.897
7.6,42,23.3,24,2.17
7.8,42,21.6,24,3.543
7.6,42,21,24,2.413
7.6,42,20.9,24,1.807
7.5,42,21,24,1.807
5.3,42,17.1,24,0.999
5.3,42,20.9,24,2.454
6,42,22.5,24,3.085
6.4,42,22.7,24,3.064
6,42,23,24,2.966
5.5,42,23.4,24,2.955
5.4,42,23.7,24,2.849
5.3,42,23.8,24,2.661
5.5,42,23.8,24,2.419
5.7,42,23.9,24,2.399
6.3,42,24,24,2.335
6.5,42,24,24,2.414
6,42,24.1,24,2.401
5.6,42,24.1,24,2.401
5.6,42,24.2,24,2.357
6.1,42,24.2,24,2.285
6.5,42,24.2,24,2.298
6.5,42,24.3,24,2.329
6,42,24.3,24,2.307
6.2,42,24.4,24,2.292
6,42,24.4,24,2.307
5.9,42,24.4,24,2.312
5.8,42,24.4,24,2.321
5.9,42,24.2,24,2.41
5.9,42,24.1,24,2.394
5.9,42,24.1,24,2.538
5.9,42,24,24,2.62
5.9,42,24,24,2.681
6.2,42,24,24,2.781
6.4,42,24,24,2.844
6.3,42,24,24,2.923
6.7,42,24,24,2.905
7.4,42,24,24,2.925
7.5,42,24,24,2.928
7.6,42,24,24,2.957
7.7,42,24,24,2.876
7.9,42,24,24,2.876
7.7,42,24,24,2.762
7.4,42,24,24,2.742
7.5,42,24,24,2.758
7.5,42,24,24,2.703
